"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"37",2013,4,10,604,1925,639,841,2225,616,"DL",1485,"N913DL","LGA","MCO",128,950,19,25,2013-04-10 19:00:00
"38",2013,11,24,2301,1225,636,149,1535,614,"AA",1697,"N634AA","JFK","MIA",143,1089,12,25,2013-11-24 12:00:00
"39",2013,1,13,1809,810,599,2054,1042,612,"DL",269,"N322NB","JFK","ATL",116,760,8,10,2013-01-13 08:00:00
"40",2013,6,5,2028,1015,613,2308,1310,598,"AA",731,"N3FNAA","LGA","DFW",200,1389,10,15,2013-06-05 10:00:00
"41",2013,2,13,2022,1030,592,2247,1252,595,"DL",2343,"N338NB","EWR","ATL",117,746,10,30,2013-02-13 10:00:00
"42",2013,7,27,1456,600,536,1649,712,577,"EV",5716,"N835AS","JFK","IAD",47,228,6,0,2013-07-27 06:00:00
"43",2013,9,12,12,1410,602,207,1635,572,"FL",350,"N956AT","LGA","ATL",98,762,14,10,2013-09-12 14:00:00
"44",2013,9,12,33,1440,593,213,1642,571,"DL",1819,"N922DL","LGA","MSP",140,1020,14,40,2013-09-12 14:00:00
"45",2013,7,6,149,1600,589,456,1935,561,"DL",141,"N705TW","JFK","SFO",325,2586,16,0,2013-07-06 16:00:00
"46",2013,4,4,1935,1030,545,2208,1248,560,"DL",2343,"N310DE","EWR","ATL",119,746,10,30,2013-04-04 10:00:00
"47",2013,7,10,2346,1410,576,141,1630,551,"FL",349,"N988AT","LGA","ATL",102,762,14,10,2013-07-10 14:00:00
"48",2013,12,5,1955,1047,548,2143,1245,538,"EV",4711,"N12163","EWR","STL",143,872,10,47,2013-12-05 10:00:00
"49",2013,4,10,1730,900,510,2052,1216,516,"DL",515,"N355NB","LGA","MIA",145,1096,9,0,2013-04-10 09:00:00
"50",2013,3,18,2239,1516,443,139,1713,506,"EV",4326,"N29917","EWR","CLT",95,529,15,16,2013-03-18 15:00:00
"51",2013,9,2,2244,1410,514,100,1635,505,"FL",350,"N980AT","LGA","ATL",109,762,14,10,2013-09-02 14:00:00
"52",2013,5,16,2233,1340,533,59,1640,499,"AA",753,"N3ERAA","LGA","DFW",184,1389,13,40,2013-05-16 13:00:00
"53",2013,1,16,1622,800,502,1911,1054,497,"B6",517,"N661JB","EWR","MCO",144,937,8,0,2013-01-16 08:00:00
"54",2013,6,13,2242,1515,447,232,1816,496,"DL",2181,"N943DL","LGA","MCO",135,950,15,15,2013-06-13 15:00:00
"55",2013,7,28,6,1600,486,231,1815,496,"MQ",3075,"N908MQ","JFK","CVG",96,589,16,0,2013-07-28 16:00:00
"56",2013,5,17,2113,1259,494,2345,1530,495,"DL",781,"N960DL","LGA","ATL",93,762,12,59,2013-05-17 12:00:00
"57",2013,6,6,2112,1250,502,2355,1540,495,"AA",745,"N3BAAA","LGA","DFW",204,1389,12,50,2013-06-06 12:00:00
"58",2013,12,17,353,1930,503,500,2047,493,"EV",5714,"N909EV","JFK","IAD",44,228,19,30,2013-12-17 19:00:00
"59",2013,5,9,1839,1015,504,2123,1310,493,"AA",731,"N3BEAA","LGA","DFW",197,1389,10,15,2013-05-09 10:00:00
"60",2013,9,6,1826,1020,486,2023,1211,492,"US",1745,"N180US","EWR","CLT",79,529,10,20,2013-09-06 10:00:00
"61",2013,6,28,121,1659,502,329,1919,490,"DL",2042,"N360NB","EWR","ATL",106,746,16,59,2013-06-28 16:00:00
"62",2013,8,8,2334,1454,520,120,1710,490,"EV",4978,"N758EV","LGA","CLT",76,544,14,54,2013-08-08 14:00:00
"63",2013,6,17,1616,829,467,1837,1028,489,"DL",1157,"N322US","EWR","MSP",157,1008,8,29,2013-06-17 08:00:00
"64",2013,1,23,1551,753,478,1812,1006,486,"DL",2119,"N326NB","LGA","MSP",166,1020,7,53,2013-01-23 07:00:00
"65",2013,6,28,125,1705,500,316,1911,485,"US",1531,"N543UW","LGA","CLT",83,544,17,5,2013-06-28 17:00:00
"66",2013,7,10,2238,1439,479,39,1644,475,"DL",1819,"N967DL","LGA","MSP",146,1020,14,39,2013-07-10 14:00:00
"67",2013,6,24,1713,1055,378,2205,1411,474,"DL",1903,"N345NB","LGA","SRQ",154,1047,10,55,2013-06-24 10:00:00
"68",2013,12,22,2236,1430,486,15,1626,469,"EV",4159,"N15912","LGA","CLE",71,419,14,30,2013-12-22 14:00:00
"69",2013,6,30,1842,1125,437,2229,1440,469,"AA",2099,"N3BTAA","LGA","MIA",202,1096,11,25,2013-06-30 11:00:00
"70",2013,8,21,48,1620,508,251,1902,469,"DL",843,"N184DN","JFK","ATL",99,760,16,20,2013-08-21 16:00:00
"71",2013,6,13,2127,1459,388,125,1737,468,"DL",451,"N687DL","LGA","ATL",110,762,14,59,2013-06-13 14:00:00
"72",2013,7,22,41,1638,483,154,1811,463,"EV",4300,"N13970","EWR","RIC",47,277,16,38,2013-07-22 16:00:00
"73",2013,5,23,134,1739,475,343,2002,461,"FL",722,"N276AT","LGA","ATL",110,762,17,39,2013-05-23 17:00:00
"74",2013,7,24,1525,815,430,1808,1030,458,"9E",3538,"N927XJ","JFK","MSP",150,1029,8,15,2013-07-24 08:00:00
"75",2013,1,1,2343,1724,379,314,1938,456,"EV",4321,"N21197","EWR","MCI",222,1092,17,24,2013-01-01 17:00:00
"76",2013,7,26,2345,1542,483,104,1729,455,"UA",372,"N577UA","LGA","CLE",62,419,15,42,2013-07-26 15:00:00
"77",2013,7,27,2011,1300,431,2253,1519,454,"EV",5148,"N605QX","EWR","ATL",111,746,13,0,2013-07-27 13:00:00
"78",2013,5,11,2316,1525,471,43,1710,453,"WN",764,"N771SA","LGA","STL",132,888,15,25,2013-05-11 15:00:00
"79",2013,6,7,2359,1700,419,201,1830,451,"MQ",4323,"N606MQ","JFK","ORF",53,290,17,0,2013-06-07 17:00:00
"80",2013,7,31,2231,1440,471,118,1749,449,"DL",1902,"N998DL","LGA","PBI",138,1035,14,40,2013-07-31 14:00:00
"81",2013,5,23,2246,1500,466,13,1645,448,"AA",341,"N424AA","LGA","ORD",121,733,15,0,2013-05-23 15:00:00
"82",2013,7,10,133,1800,453,455,2130,445,"B6",415,"N641JB","JFK","SFO",345,2586,18,0,2013-07-10 18:00:00
"83",2013,6,24,159,1735,504,432,2108,444,"DL",1543,"N727TW","JFK","SEA",307,2422,17,35,2013-06-24 17:00:00
"84",2013,9,2,2218,1425,473,2349,1625,444,"EV",4949,"N744EV","LGA","GSO",69,461,14,25,2013-09-02 14:00:00
"85",2013,12,5,1735,1024,431,2009,1246,443,"EV",4495,"N14977","EWR","SAV",111,708,10,24,2013-12-05 10:00:00
"86",2013,7,10,2011,1520,291,2357,1636,441,"EV",4580,"N12122","EWR","MKE",154,725,15,20,2013-07-10 15:00:00
"87",2013,3,8,1600,810,470,1759,1043,436,"FL",361,"N987AT","LGA","ATL",101,762,8,10,2013-03-08 08:00:00
"88",2013,4,18,2200,1453,427,106,1751,435,"UA",479,"N811UA","LGA","IAH",208,1416,14,53,2013-04-18 14:00:00
"89",2013,11,4,1822,1129,413,2143,1429,434,"AA",1139,"N3GRAA","LGA","DFW",210,1389,11,29,2013-11-04 11:00:00
"90",2013,6,28,154,1820,454,405,2051,434,"DL",926,"N322NB","EWR","ATL",104,746,18,20,2013-06-28 18:00:00
"91",2013,12,18,1702,950,432,1836,1123,433,"FL",160,"N972AT","LGA","CAK",70,397,9,50,2013-12-18 09:00:00
"92",2013,7,10,2342,1630,432,312,1959,433,"VX",27,"N845VA","JFK","SFO",340,2586,16,30,2013-07-10 16:00:00
"93",2013,6,27,2309,1553,436,20,1709,431,"EV",5682,"N16987","EWR","MKE",109,725,15,53,2013-06-27 15:00:00
"94",2013,6,13,1833,1250,343,2135,1425,430,"MQ",3361,"N804MQ","JFK","RDU",76,427,12,50,2013-06-13 12:00:00
"95",2013,4,12,1254,600,414,1428,720,428,"MQ",3768,"N524MQ","EWR","ORD",117,719,6,0,2013-04-12 06:00:00
"96",2013,6,25,1600,900,420,1739,1035,424,"UA",1543,"N76515","LGA","ORD",113,733,9,0,2013-06-25 09:00:00
"97",2013,12,7,1903,1249,374,2316,1614,422,"UA",394,"N842UA","EWR","SFO",395,2565,12,49,2013-12-07 12:00:00
"98",2013,3,8,1819,1200,379,2005,1303,422,"B6",1174,"N329JB","EWR","BOS",47,200,12,0,2013-03-08 12:00:00
"99",2013,4,24,2048,1345,423,2207,1505,422,"WN",2226,"N931WN","LGA","MDW",117,725,13,45,2013-04-24 13:00:00
"100",2013,6,13,1627,959,388,1815,1114,421,"EV",5711,"N820AS","JFK","IAD",56,228,9,59,2013-06-13 09:00:00
